full_text,text_final,skor_sentimen,label
"Program Makan Bergizi Gratis (MBG) di Papua membantu anak-anak mendapatkan asupan gizi yang cukup agar tumbuh sehat, cerdas, dan siap meraih masa depan. 

#MBGPapua
#MakanBergiziGratis
#PapuaSehat https://t.co/34CH6Yfj2M",program makan gizi gratis mbg papua bantu anak anak asupan gizi tumbuh sehat cerdas raih,2,positif
"@aaaaatorruq perhitungan kamu ini udah salah secara konsep dan BEP salah karna pake asumsi

BEP itu pake laba bersih, bukan angka asumsi yang belum jelas, masih kotor atau udwh net.

balik lagi, MBG (makan bergizi gratis)",hitung salah konsep bep salah pakai asumsi bep pakai laba bersih bukan angka asumsi belum kotor udwh net mbg makan gizi gratis,-13,negatif
"@ARSIPAJA selama Makan Bergizi Gratis ada, gue harap $1 = 20 ribu biar pada KO semua termasuk gue, udh lelah dimakanin MBG terus duitnya",makan gizi gratis gue harap ribu biar gue lelah dimakanin mbg duit,3,positif
"@dosenkesmas ini akibat dari kekurangan gizi, maka solusinya memang Makan Bergizi Gratis

/s",akibat kurang gizi solusi makan gizi gratis si,2,positif
"Padahal dulu pernah....
Sekarang Flexing....

5 November 2025
JEJAK DIGITAL Mitra SPPG Pangauban Batujajar Kabupaten Bandung Barat meminta maaf kepada seluruh siswa penerima manfaat program Makan Bergizi Gratis (MBG) usai program tersebut terhenti akibat dana Rp 1 miliar hilang https://t.co/6uYd1hZDza",flexing november jejak digital mitra sppg pangauban batujajar kabupaten bandung barat maaf siswa terima manfaat program makan gizi gratis mbg program henti akibat dana rp miliar hilang,7,positif
"@insidefolkative Syukurlah jauh di atas jumlah dapur MBG 😃

Hingga Maret 2026, dilaporkan terdapat sekitar 22.000 hingga 23.000 dapur Makan Bergizi Gratis (MBG) atau Satuan Pelayanan Pemenuhan Gizi (SPPG) yang beroperasi di seluruh Indonesia. https://t.co/h3R6fQHzX0",syukur dapur mbg maret lapor dapur makan gizi gratis mbg satu layan penuh gizi sppg operasi indonesia,14,positif
"Program Makan Bergizi Gratis: menyehatkan anak, menguatkan bangsa, dan menggerakkan ekonomi desa menuju Indonesia Emas.

#MakanBergiziGratis
#GiziUntukAnakBangsa
#AnakSehatIndonesiaKuat
#GenerasiEmas2045
#IndonesiaSehat https://t.co/nobKff7bsk",program makan gizi gratis sehat anak kuat bangsa gerak ekonomi desa indonesia emas,3,positif
"Senyum ceria anak-anak Papua adalah cerminan harapan masa depan bangsa 🌟💙 Melalui pengawasan gizi yang terarah dan pemanfaatan pangan lokal yang berkualitas 🌾🐟, program Makan Bergizi Gratis hadir memastikan setiap asupan yang diterima benar-benar bernutrisi dan bermanfaat. https://t.co/XwTrLAupnv",senyum ceria anak anak papua cermin harap bangsa awas gizi arah manfaat pangan lokal kualitas program makan gizi gratis hadir asupan terima nutrisi manfaat,18,positif
"Teknokrat sudah angkat bicara! Program Makan Bergizi Gratis (MBG) yang menelan anggaran fantastis Rp335 Triliun bukan lagi sekadar soal gizi, tapi potensi ""Bom Waktu"" bagi fiskal &amp; kurs Rupiah kita. Mari kita bedah nalar kritisnya.",teknokrat angkat bicara program makan gizi gratis mbg tel anggar fantastis rp triliun bukan gizi potensi bom fiskal amp kurs rupiah bedah nalar kritis,2,positif
"MBG: Antara Pesta Pora Fiskal &amp; Ancaman Kebangkrutan Ekonomi.

Halim Alamsyah (Mantan Deputi Gubernur BI/Teknokrat) ini memberikan perspektif ekonomi makro yang sangat mengkhawatirkan terkait beban anggaran Makan Bergizi Gratis (MBG) di tengah krisis global. https://t.co/xuxV1CFrKY",mbg pesta pora fiskal amp ancam bangkrut ekonomi halim alamsyah mantan deputi gubernur bi teknokrat perspektif ekonomi makro khawatir kait beban anggar makan gizi gratis mbg krisis global,-16,negatif
"@LambeSahamjja Program makan bergizi gratis bantu anak-anak tetap sehat, fokus di kelas dan makin semangat kejar cita-cita https://t.co/zA6wjvJXWs",program makan gizi gratis bantu anak anak sehat fokus kelas semangat kejar cita cita,-2,negatif
"@insidefolkative lebih baik MBG dihentikan dan anggarannya difokuskan untuk bangun industri produktif yang dapat menyerap jutaan tenaga kerja dengan pendapatan yang layak. dengan begitu, pemerintah tidak perlu khawatir gizi anak karena orang tuanya bisa ngasih makan bergizi 3 kali sehari.",mbg henti anggar fokus bangun industri produktif serap juta tenaga kerja dapat layak perintah tidak khawatir gizi anak orang tua asih makan gizi kali hari,-7,negatif
"E4. Di Tengah Program Berisiko Tinggi

Program Makan Bergizi Gratis merupakan program dengan anggaran besar dan melibatkan banyak pihak. Dalam konteks tata kelola, program semacam ini termasuk kategori berisiko tinggi terhadap penyimpangan.

Ketika jaksa masuk ke dalam struktur https://t.co/2NYq9Bwlcp",e program risiko program makan gizi gratis program anggar libat konteks tata kelola program kategori risiko simpang jaksa masuk struktur,-2,negatif
"Makan Gratis dan Paradoks Kepercayaan

Survei dari Indikator Politik Indonesia menunjukkan ironi yang sulit diabaikan. Program Makan Bergizi Gratis mendapat dukungan luas, namun pada saat yang sama mayoritas publik meragukan pelaksanaannya akan bersih dari korupsi. Ini bukan https://t.co/ly6lSlsjQf",makan gratis paradoks percaya survei indikator politik indonesia ironi sulit abai program makan gizi gratis dukung luas mayoritas publik ragu laksana bersih korupsi bukan,3,positif
"@sosmedkeras Yg gila kamu ... mosok dikasih makan bergizi gratis sm pemerintah gamau ...

Kata BuzzeRp 😂",gila mosok kasih makan gizi gratis perintah enggak mau buzzerp,7,positif
"Presiden Republik Indonesia Prabowo Subianto memerintahkan peningkatan kualitas dapur Makan Bergizi Gratis (MBG) atau Satuan Pelayanan Pemenuhan Gizi (SPPG) secara menyeluruh.

Baca di: https://t.co/VaHKj0053d 

~WR #Prabowo #MakanBergiziGratis #BGN https://t.co/SETbVmFZfH",presiden republik indonesia prabowo subianto perintah tingkat kualitas dapur makan gizi gratis mbg satu layan penuh gizi sppg baca wr,16,positif
"Cerita Mbak ART yang Anaknya Dapet MBG: Jujur, Ketolong Banget!

Jakarta - Seorang majikan penasaran dengan sudut pandang asisten rumah tangga (ART) yang anaknya mendapat makan dari program Makan Bergizi Gratis (MBG) di sekolah. Di luar dugaan jawaban Mbak-nya itu membuat dia https://t.co/JQXTty153P",cerita mbak art anak mbg jujur tolong banget jakarta majikan penasaran sudut pandang asisten rumah tangga art anak makan program makan gizi gratis mbg sekolah duga mbak nya,4,positif
"@AraituLaki andaikan gak banyak malingnya, pasti bisa tetep kasih makan gratis dg baik pd anak², dan tetep bisa kasih gratis pendidikan hingga S1, bahkan mungkin S2. 
sayangnya... banyakan yg bancak'an &amp; pamer cuan drpd yg bener² masak bergizi &amp; sesuai budget. 
kan jancukkk ?!",andai enggak maling kasih makan gratis anak kasih gratis didik si si sayang banyak bancak an amp pamer cuan masak gizi amp sesuai budget jancukkk,9,positif
Justru presiden @prabowo memberi peluang anggaran MBG di korupsi oleh para pengelola MBG dan anggota BGN . Rakyat gak bisa makan uang itu. Rakyat hanya dapat makanan ringan yg tidak bergizi.  Prabowo membuka celah dan peluang untuk para koruptor baru.,presiden peluang anggar mbg korupsi kelola mbg anggota bgn rakyat enggak makan uang rakyat makan ringan tidak gizi prabowo buka celah peluang koruptor,-8,negatif
"Presiden Prabowo Subianto menegaskan komitmennya untuk tetap melanjutkan program makan bergizi gratis (MBG) di tengah tekanan krisis global. 

Simak selengkapnya di https://t.co/GgtZcy4bbs
#HardNews_Politik #NewsOne #CariBeritaditvOne #PrabowoSubianto #MBG #NO04 https://t.co/wcWZPCdoLa",presiden prabowo subianto komitmen lanjut program makan gizi gratis mbg tekan krisis global simak lengkap,-5,negatif
"happy bear day!!
funfact beruang tuh lebih pemilih dalam makanan daripada unhak, apalagi beruang grizzly yg dapat akses ke jalur migrasi salmon. Mereka cuman makan bagian tertentu yg bergizi kayak kepala dan kulit ikan salmon, karena minim waktu dan sumber makanan berlimpah🐻🐟 https://t.co/XuqGtq5gm8",happy bear day funfact beruang tuh pilih makan unhak beruang grizzly akses jalur migrasi salmon cuman makan gizi kayak kepala kulit ikan salmon minim sumber makan limpah,-4,negatif
"@18fesss Olahraga nder, terutama angkat beban &amp; leg day, atur stress mu yg bener dengan sesuatu yg bikin km seneng, makan makanan bergizi &amp; buah2an yg adjust joni, hindari gula, rokok, &amp; fast food",olahraga nder angkat beban amp leg day atur stres mu bikin senang makan makan gizi amp buah an adjust joni hindar gula rokok amp fast food,-9,negatif
"Jaman pengunjung akhir Orba, ada namanya:
""4 sehat 5 sempurna"",
tapi keburu digulingkan Soeharto. Seperti massa Koalisi Masyarakat Soros sekarang yang mau gulingkan Prabowo karena berani memberikan makan bergizi ke anak bangsa.

Mereka beranggapan Prabowo kasih makan bergizi ke https://t.co/zTtO2D8QIB",jaman unjung orba nama sehat sempurna keburu guling soeharto massa koalisi masyarakat soros guling prabowo berani makan gizi anak bangsa anggap prabowo kasih makan gizi,-10,negatif
@smokeatcity MY MBG MAKAN BERGIZI GUA KITING BAIM MY CILOK GUA 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,my mbg makan gizi gua kiting baim my cilok gua,-9,negatif
"Presiden @prabowo menargetkan pertumbuhan ekonomi Indonesia mencapai 8% pada 2026 melalui penciptaan lapangan kerja masif dari program Makan Bergizi Gratis (MBG), Koperasi Desa Merah Putih, dan pembangunan satu juta rumah. Inisiatif ini diproyeksikan menyerap jutaan tenaga kerja https://t.co/kvIjRs7w1j",presiden target tumbuh ekonomi indonesia capai cipta lapang kerja masif program makan gizi gratis mbg koperasi desa merah putih bangun juta rumah inisiatif proyeksi serap juta tenaga kerja,22,positif
"Presiden Prabowo Subianto menegaskan program Makan Bergizi Gratis (MBG) tetap berjalan meski menghadapi tekanan anggaran serta kritik terkait pelaksanaannya di lapangan. 

Hal tersebut disampaikan dalam dialog bersama sejumlah tokoh di Hambalang, Kabupaten Bogor, Jawa Barat, pada",presiden prabowo subianto program makan gizi gratis mbg jalan hadap tekan anggar kritik kait laksana lapang dialog tokoh hambalang kabupaten bogor jawa barat,5,positif
"Presiden Prabowo Subianto secara konsisten menegaskan komitmen kuatnya terhadap Program Makan Bergizi Gratis (MBG) untuk anak-anak Indonesia, sebagai upaya strategis mengatasi stunting dan malnutrisi. 

https://t.co/40ltJIqQDG",presiden prabowo subianto konsisten komitmen kuat program makan gizi gratis mbg anak anak indonesia upaya strategis atas stunting malnutrisi,-7,negatif
"Kemungkinan besar yang ginian rame karena oposisi sekarang kebanyakan IQ jongkok kekurangan makan bergizi.

Jadi berat banget untuk mikir.
Apalagi untuk cari tau.

Maunya belain koruptor dan hanya mau dengar dan sejalan dengan modelan tukang hoaks ambulance bawa batu gitu...",rame oposisi banyak iq jongkok kurang makan gizi berat banget mikir cari tau mau bela koruptor dengar jalan model tukang hoaks ambulance bawa batu,-13,negatif
"@KompasTV Drpd buat isi perut ya jauh lebih baek buat isi otak.
Drpd buat ngasih makan yg ga bergizi ya jauh lebih baek buat biayai kuliah gratis seluruh mahasiswa ptn...

Setuju ga @prabowo  ??",isi perut isi otak asih makan enggak gizi biaya kuliah gratis mahasiswa ptn tuju enggak,1,positif
MBG = Makan Bergizi Gooners 😍,mbg makan gizi gooners,0,netral
"Berapa konsumsi BBM untuk semua sistem yang bekerja pada Program Makan Bergizi? 
-BBM Pasokan bahan makanan
-BBM/Elpiji pengolahan makanan
- BBM distribusi MBG
- BBM pegawai SPPG
- BBM BGN

Mengapa siswa harus belajar daring, yang mana mengkonsumsi listrik rumah= BBM juga? Dimana",konsumsi bbm sistem program makan gizi bbm pasok bahan makan bbm elpiji olah makan bbm distribusi mbg bbm pegawai sppg bbm bgn siswa ajar daring konsumsi listrik rumah bbm,3,positif
"Keterlibatan Rockefeller di Program Makan Bergizi Gratis (MBG): Filantropi atau Ancaman Baru? 

Dukungan Rockefeller Foundation terhadap program MBG Indonesia sekilas terlihat seperti angin segar. Tapi, jika kita bedah dari kacamata Demografi, Kesehatan, &amp; Korupsi, ada ""red",libat rockefeller program makan gizi gratis mbg filantropi ancam dukung rockefeller foundation program mbg indonesia kilas angin segar bedah kacamata demografi sehat amp korupsi red,8,positif
Dady ngasih biji ocon elkan program makan bergizi gratis mohon Sriwijaya https://t.co/14UABO6jJe,dady asih biji ocon elkan program makan gizi gratis mohon sriwijaya,6,positif
"selalu nasehatin orang lain gabaik tidur terlalu larut malam, makan yg bergizi jangan samai ga makan. tapi diri sendiri ga dipentingin wk",nasihat orang gabaik tidur larut malam makan gizi jangan sama enggak makan enggak dipentingin,-11,negatif
@tekarok007 Para buzzer selalu bicara negara memberi makan bergizi kepada anak2. Padahal yang dikritisi rakyat itu tranparansi penggunaan uang rakyat untuk MBG ditengah situasi krisis ini.,buzzer bicara negara makan gizi anak kritisi rakyat tranparansi guna uang rakyat mbg tengah situasi krisis,-4,negatif
"Gak ada MBG rakyat anda tetap makan @prabowo. Memangnya makan satu kali sekali dgn menu jauh dari bergizi dari oprengan yg kadang bau amis bikin rakyat ada kenyang, sehat dan begizi?",enggak mbg rakyat makan memang makan kali menu gizi oprengan kadang bau amis bikin rakyat kenyang sehat begizi,7,positif
"@omprengkosong Agak misleading sbnrnya.
Lebih tepat untuk memberikan kesempatan makan bergizi seharusnya bagi anak anak yang belum pernah.

Sekarang kan malah jadi salah sasaran.",misleading sbnrnya sempat makan gizi anak anak belum salah sasar,-10,negatif
"Program Makan Bergizi Gratis memberikan akses makanan sehat bagi masyarakat. Dengan nutrisi yang tepat, kita bisa meningkatkan kesehatan dan produktivitas. 

#MBG
#LapanganKerja
#MakanSehat
#IndonesiaEmas
#DapurMBG https://t.co/kYtZUFjqGu",program makan gizi gratis akses makan sehat masyarakat nutrisi tingkat sehat produktivitas,13,positif
"Program Makan Bergizi Gratis (MBG) di bawah kepemimpinan pak @prabowo bukan sekadar program bantuan, tapi investasi masa depan. Anak-anak sehat hari ini, Indonesia kuat esok hari. https://t.co/kRrC8nDsBb",program makan gizi gratis mbg pimpin bukan program bantu investasi anak anak sehat indonesia kuat esok,-5,negatif
"awal nya kasian ama mereka..tapi abis liat yg ada di saku anak nya aku mala jadi kasian ama diriku sendiri 😭

---
src: TT muhdadzrul
tag: Senin Sriwijaya Ngasih dana hibah Program Makan Bergizi Gratis Pemulihan Aceh Tamiang https://t.co/Mag4PihmFH",nya kasihan habis lihat saku anak nya mala kasihan diri src tt muhdadzrul tag senin sriwijaya asih dana hibah program makan gizi gratis pulih aceh tamiang,8,positif
"Joget gemoy flexing 6jt/hari → viral → di hujat netizen → lapor polisi

Bonus track : ketangkep gandengan mesra dgn Ivan Gunawan😂

Program makan bergizi gratis kok jadi panggung flexing &amp; drama seleb!
Mitra MBG level apa ini? 
nitizen bener-bener nggak boleh libur ngegihah ya https://t.co/2DWBtilWm1",joget gemoy flexing juta viral hujat netizen lapor polisi bonus track ketangkep gandeng mesra ivan gunawan program makan gizi gratis panggung flexing amp drama seleb mitra mbg level nitizen enggak libur ngegihah,5,positif
"@bangherwin Harusnya yg digugat bukan program nya tapi namanya krn menyesatkan. Karena yang disajikan gak bergizi, gak gratis dan bukan makanan (layak makan)",gugat bukan program nya nama sesat saji enggak gizi enggak gratis bukan makan layak makan,-4,negatif
"@ardisatriawan Analisa berdasarkan data @grok ;

Perbandingan Proyek Kedung Ombo (Era Soeharto) vs Program MBG (Era Prabowo)

Kedua proyek ini merupakan mega-program pemerintah pusat yang diklaim “untuk rakyat” dan “pembangunan jangka panjang”, tetapi sama-sama menuai kritik keras karena cara",analisa dasar data banding proyek kedung ombo era soeharto vs program mbg era prabowo proyek mega program perintah pusat klaim rakyat bangun jangka tuai kritik keras,-5,negatif
"@tekarok007 Ngasih makan bergizi ngapain pake MBG?

Coba tanya pak @jokowi deh kalau gak tau caranya",asih makan gizi kapai pakai mbg coba deh enggak tau,-1,negatif
@tekarok007 Makan bergizi tanpa belajar tidak akan pintar.,makan gizi tanpa ajar tidak pintar,-7,negatif
"@tanyakanrl Aku mungkin bakal bales, ""cantik atau engganya istri tergantung suaminya sih. Kalo dinafkahin lebih dari cukup bisa makan yg bergizi, bisa beli skincare, dibahagiain pasti bakalan lebih cantik dari era single si istrinya. Kalo jelek, coba tanya temenmu kok bisa""",balas cantik engganya istri gantung suami sih kalo dinafkahin makan gizi beli skincare dibahagiain cantik era single sih istri kalo jelek coba temenmu,-11,negatif
"@tekarok007 Aneh saja, kalau negara beri makan bergizi gratis anak sekolah tapi justru ada protes. Apa mereka senang kalau anak sekolah kekurangan gizi.",aneh negara makan gizi gratis anak sekolah protes senang anak sekolah kurang gizi,-1,negatif
"Presiden Prabowo Subianto mengklaim program Makan Bergizi Gratis (MBG) bisa menciptakan hingga 1,5 juta lapangan kerja melalui penciptaan Satuan Pelayanan Pemenuhan Gizi (SPPG). Menurut Prabowo, 1,5 juta lapangan kerja itu bisa diciptakan melalui… https://t.co/qe9VeiGmX2 https://t.co/jqCJcU8MaZ",presiden prabowo subianto klaim program makan gizi gratis mbg cipta juta lapang kerja cipta satu layan penuh gizi sppg prabowo juta lapang kerja cipta,23,positif
"@NgkongRoses No. 5. Sebenernya bukan melewatkan sarapan, tapi fokusnya yg penting tidak stress. 

Makan mah gak harus tiap hari kan. Gmana yg puasa/intermittent fasting, yg penting jamnya teratur dan bergizi. 🤷‍♀️",no bukan lewat sarap fokus tidak stres makan mah enggak puasa intermittent fasting jam atur gizi,-13,negatif
"@tekarok007 Sy sepakat dgn MBG, tp tidak dgn implementasinya, karena memotong anggaran pendidikan n riset. 
Makan bergizi tp gurunya ga dimakmurkan, kurikulum berubah ubah, dan lingkungan riset lemah, potensi anak bangsa jg ga akan optimal.",sepakat mbg tidak implementasi potong anggar didik n riset makan gizi guru enggak makmur kurikulum ubah ubah lingkung riset lemah potensi anak bangsa enggak optimal,4,positif
"Presiden Prabowo Subianto menegaskan komitmennya untuk menjaga keberlanjutan program Makan Bergizi Gratis (MBG) di tengah tekanan ekonomi global yang dipicu konflik Timur Tengah.

Dalam pernyataannya, Prabowo tidak akan mengorbankan program yang secara langsung menyentuh https://t.co/aLsPyYVSP1",presiden prabowo subianto komitmen jaga lanjut program makan gizi gratis mbg tekan ekonomi global picu konflik timur nyata prabowo tidak korban program langsung sentuh,-4,negatif
"Statement 1:
Presiden Prabowo Subianto menegaskan Program Makan Bergizi Gratis (MBG) adalah harga mati untuk membela rakyat dan memutus rantai stunting. Baginya, anggaran negara harus sampai ke piring anak-anak daripada habis dikorupsi. ""Daripada uang dikorupsi, lebih baik rakyat",statement presiden prabowo subianto program makan gizi gratis mbg harga mati bela rakyat putus rantai stunting bagi anggar negara piring anak anak habis korupsi uang korupsi rakyat,-9,negatif
"@mwenangbejok Berpikiran kasih makan bergizi ke anak itu suatu yang mubazir, kadang kasihan sama anaknya kalau punya ortu dengan pemikiran seperti itu.",pikir kasih makan gizi anak mubazir kadang kasihan anak orang tua pikir,-7,negatif
"MBG itu:
Dipikiran orang normal:
""Kasih makan bergizi ke 61 juta anak sekolah"".

Dipikiran kaum anti-pemerintah:
""Terancam kehilangan 61 juta orang, buat benci ke pemerintah"".

Anti-pemerintah itu emang tidak pernah peduli ke anak bangsa, cuma kejar ambisi kekuasaan.
Negara",mbg pikir orang normal kasih makan gizi juta anak sekolah pikir kaum anti perintah ancam hilang juta orang benci perintah anti perintah tidak peduli anak bangsa kejar ambisi kuasa negara,-7,negatif
@Jakartalk Kenapa sih orang model model gini gak sadar diri apa asal usul kelakuannya dimaki maki sama orang laen…yayasan yang jadi kedok pebisnis makan gak begitu bergizi,sih orang model model enggak sadar usul laku maki maki orang yayasan kedok bisnis makan enggak gizi,-1,negatif
"@prabowo ini ngomong asal. Tak ada MBG anak Indonesia juga makan. Yg dimakan anak-anak Indonesia saat ini lebih bergizi dari MBG.
Justru MBG mubajir, hanya buang-buang anggaran. Sadarlah wo, buka kaca mata anda wo.",omong tak mbg anak indonesia makan makan anak anak indonesia gizi mbg mbg mubajir buang buang anggar sadar wo buka kaca mata wo,-17,negatif
"Presiden RI Prabowo Subianto menegaskan komitmennya untuk terus melanjutkan Program Makan Bergizi Gratis (MBG), dengan menyatakan lebih baik anggaran yang ada untuk memberi makan rakyat daripada dikorupsi. Prabowo, dalam sebuah wawancara, yang keterangan… https://t.co/Jdz0916L1a https://t.co/pTHRpEhns3",presiden ri prabowo subianto komitmen lanjut program makan gizi gratis mbg anggar makan rakyat korupsi prabowo wawancara terang,5,positif
"day 1 - yes pulanv makan enak
day 2 - masih makan yg enak dan bergizi
day 3 - mulai percikan api di dalam keluarga
day 4 - perang dunia dimulai ❤️❤️❤️",day yes pulanv makan enak day makan enak gizi day percik api keluarga day perang dunia,4,positif
"""Forcing my sulfur cube to eat Makan Bergizi Gratis"" https://t.co/7TkaIx90DR",forcing my sulfur cube eat makan gizi gratis,1,positif
"Program katanya buat anak-anak biar makan bergizi, tapi mitranya malah joget pamer untung jutaan per hari.
Ini program sosial atau konten flexing?
Dikritik bukannya introspeksi, malah sibuk laporin orang.
Mentalnya pengen untung besar, tapi gak siap diawasi publik.",program anak anak biar makan gizi mitra joget pamer untung juta program sosial konten flexing kritik introspeksi sibuk laporin orang mental pengin untung enggak awas publik,-9,negatif
"@ekowboy2 Memberi makan kepada anak2 adalah tanggung jawab orang tuanya, pemerintah lebih baik sediakan saja lapangan kerja yg layak kepada para orang tuanya agar bisa kasih makan yg bergizi ke anak2nya.
Entah siapa yg sudah samlaikan berita bohong ke presiden. https://t.co/I4habg5Kqs",makan anak tanggung orang tua perintah sedia lapang kerja layak orang tua kasih makan gizi anak nya samlaikan berita bohong presiden,-16,negatif
"@pickyhn Betul, awareness campaign kena ada. China luar bandar pun bukannya mewah, but they can do it sbb government buat awareness program dan bagi subsidi utk sekolah luar bandar. Indonesia pun dah start program Makan Bergizi Gratis free school lunch utk atasi bantut dan tak cukup zat.",awareness campaign kena china bandar mewah but they can government awareness program subsidi sekolah bandar indonesia deh start program makan gizi gratis free school lunch atas bantut tak zat,-2,negatif
@Dra_satria @LambeSahamjja @prabowo @KPK_RI @bang_dasco @habiburokhman @fadlizon Tolong disosialisasikan buat pengajuan menjadi tahanan rumah gitu kepada para tahanan maling ayam  maling sepeda maling HP biar beliau beliau ini juga bisa mengajukan menjadi tahanan rumah,sosialisasi aju tahan rumah tahan maling ayam maling sepeda maling hp biar beliau beliau aju tahan rumah,-5,negatif
"Presiden RI Prabowo Subianto menegaskan komitmennya untuk terus melanjutkan Program Makan Bergizi Gratis (MBG) sebagai bentuk keberpihakan nyata negara kepada rakyat, khususnya anak-anak dan kelompok rentan.

Program ini tidak hanya ditujukan untuk mengatasi persoalan gizi dan",presiden ri prabowo subianto komitmen lanjut program makan gizi gratis mbg bentuk pihak nyata negara rakyat anak anak kelompok rentan program tidak atas gizi,-17,negatif
"#LebaranArtis 2026
Keluarga Kalcer

Setelah ditunggu dari kemarin, inilah dia The Sasonos!
Tak mau kalah dengan BCL, keluarga Mas Dwi dan Mbak Widi juga mengusung tema “Makan Bergizi Gratis” sebagai outfitnya.
Atasan warna biru wowo dipadankan dengan bawahan abu-abu ompreng MBG. https://t.co/7ch6UMkmCO",keluarga kalcer tunggu kemarin the sasonos tak kalah bcl keluarga mas dwi mbak widi usung tema makan gizi gratis outfitnya atas warna biru wowo padan bawah abu abu ompreng mbg,-1,negatif
"Dari Dapur MBG hingga Perumahan Rakyat, Strategi Prabowo Ciptakan Pertumbuhan Ekonomi 8%

Jakarta - Presiden Prabowo Subianto tengah menargetkan pertumbuhan ekonomi Indonesia tembus ke angka 8%. Salah satu strateginya adalah dengan menciptakan banyak lapangan kerja.

.Berbagai https://t.co/c4Tju0SUB1",dapur mbg rumah rakyat strategi prabowo cipta tumbuh ekonomi jakarta presiden prabowo subianto target tumbuh ekonomi indonesia tembus angka salah strategi cipta lapang kerja,10,positif
"Prabowo: Lebih Baik Uang untuk Makan Rakyat daripada Dikorupsi

Jakarta - Presiden RI Prabowo Subianto menegaskan komitmennya untuk terus melanjutkan Program Makan Bergizi Gratis (MBG) sebagai bentuk keberpihakan nyata negara kepada rakyat, khususnya anak-anak dan kelompok https://t.co/hfeM08UPDO",prabowo uang makan rakyat korupsi jakarta presiden ri prabowo subianto komitmen lanjut program makan gizi gratis mbg bentuk pihak nyata negara rakyat anak anak kelompok,-8,negatif
"@direktoridosen MBS = Putra Mahkota Arab Saudi 🇸🇦
MBZ = Emir Abu Dhabi/Presiden UEA 🇦🇪
MBG = Makan Bergizi Gratis 🇮🇩",mbs putra mahkota arab saudi mbz emir abu dhabi presiden uea mbg makan gizi gratis,12,positif
Presiden Prabowo Subianto menegaskan program makan bergizi gratis atau MBG tak akan dihentikan meski mendapat kritik terkait besarnya kebutuhan anggaran di tengah tekanan fiskal.  https://t.co/X6g31ukiIx,presiden prabowo subianto program makan gizi gratis mbg tak henti kritik kait besar butuh anggar tekan fiskal,-6,negatif
"@ardisatriawan MBG
Makan Bergizi Gratis❌
Makan Beracun Gatalan✅",mbg makan gizi gratis makan racun gatal,1,positif
"@nanadybs Jangankan Bank, ahli serangganya aja jadi ngurusi Makan Bergizi.",bank ahli serangga ngurusi makan gizi,0,netral
"@Dew0W1snu Pantas kah selebrasi seperti ini?
-korban keracunan Makan Bergizi Gratis (MBG) di Indonesia mencapai 16.109 orang per 31 Oktober 2025. Total korban terus bertambah, dengan laporan lain menunjukkan angka di atas 21.000 hingga awal 2026, terutama pada anak sekolah.
@ABCWorldNews",selebrasi korban racun makan gizi gratis mbg indonesia capai orang oktober total korban tambah lapor angka anak sekolah,0,netral
"Demi MBG Presiden Prabowo tidak akan mundur. Daripada uang dikorupsi, lebih baik dikasi kepada anak anak Indonesia agar bisa makan makanan layak dan bergizi. Sebuah alasan sederhana tapi sangat tepat 
_ https://t.co/ydcJ700zjf",mbg presiden prabowo tidak mundur uang korupsi kasi anak anak indonesia makan makan layak gizi alas sederhana,-19,negatif
"Sepakat pak Presiden 👍👍

Presiden RI @prabowo menegaskan komitmennya untuk terus melanjutkan Program Makan Bergizi Gratis (MBG), dengan menyatakan lebih baik anggaran yang ada untuk memberi makan rakyat daripada dikorupsi. 

Di tengah berbagai kritik dan tantangan fiskal, https://t.co/608bBNl2Bv",sepakat presiden presiden ri komitmen lanjut program makan gizi gratis mbg anggar makan rakyat korupsi kritik tantang fiskal,-2,negatif
"Penghematan anggaran pendidikan bisa dilakukan dengan cara menghemat program yang tidak ada kaitannya dengan esensi pembelajaran seperti program makan yang belum tentu bergizi namun menggunakan anggaran pendidikan. 

Bukan dengan cara melaksanakan pembelajaran daring--seperti era https://t.co/BKSAM55sYD",hemat anggar didik hemat program tidak kait esensi ajar program makan belum gizi anggar didik bukan laksana ajar daring era,-3,negatif
"Liputan pekan ini mengungkap peran polisi dalam proyek prioritas Prabowo: swasembada pangan dan makan bergizi gratis. Dari mana anggarannya?

https://t.co/DFz89vhfpG",liput pekan ungkap peran polisi proyek prioritas prabowo swasembada pangan makan gizi gratis anggar,7,positif
"Kota Bogor menangkap peluang besar dalam program Makan Bergizi Gratis. Bukan sekadar bantuan sosial, program ini dipandang sebagai trigger pertumbuhan ekonomi yang dahsyat seperti Penyerapan Tenaga Kerja, Kemandirian Logistik, Distribusi Kesejahteraan dan ekosistem ekonomi baru. https://t.co/R4KvfpnDUI",kota bogor tangkap peluang program makan gizi gratis bukan bantu sosial program pandang trigger tumbuh ekonomi dahsyat serap tenaga kerja mandiri logistik distribusi sejahtera ekosistem ekonomi,3,positif
